GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jmztabm-api,de.isas.lipidomics.mztab2.validation.validators,ParameterValidator,0,60,8,18,0,9,8,6,0,1
jmztabm-api,uk.ac.ebi.pride.jmztab2.model,MZTabStringUtils,0,52,0,14,0,11,0,10,0,3
jmztabm-api,uk.ac.ebi.pride.jmztab2.model,MZTabConstants,3,0,0,0,1,0,1,0,1,0
jmztabm-api,de.isas.lipidomics.mztab2.validation,Validator,0,2,0,0,0,1,0,1,0,1
jmztabm-api,de.isas.lipidomics.mztab2.validation,MzTabValidator,29,59,11,5,4,15,8,6,0,5
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils.errors,LogicalErrorType,0,426,0,0,0,54,0,2,0,2
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils.errors,MZTabErrorType.Category,0,34,0,0,0,4,0,1,0,1
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils.errors,MZTabError,102,123,11,7,36,31,12,6,3,4
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils.errors,MZTabErrorType,90,162,15,17,21,45,17,16,3,13
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils.errors,FormatErrorType,0,298,0,0,0,38,0,2,0,2
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils.errors,MZTabException,0,24,0,0,0,9,0,4,0,4
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils.errors,CrossCheckErrorType,0,122,0,0,0,16,0,2,0,2
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils.errors,MZTabErrorList,161,94,21,12,37,24,24,14,10,11
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils.errors,MZTabErrorType.Level,0,34,0,0,0,4,0,1,0,1
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils.errors,MZTabErrorOverflowException,3,0,0,0,2,0,1,0,1,0
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils.errors,MZTabErrorTypeMap,0,53,0,0,0,16,0,7,0,7
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils.errors,MZTabConversionException,3,13,0,0,2,6,1,3,1,3
jmztabm-api,uk.ac.ebi.pride.jmztab2.utils,MZTabProperties,7,38,0,0,3,15,0,3,0,3
jmztabm-api,de.isas.mztab2.model,ColumnParameterMapping.Properties,68,0,2,0,12,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,Error.Properties,68,0,2,0,12,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,MzTabAccess,42,138,2,2,5,33,6,16,4,16
jmztabm-api,de.isas.mztab2.model,SmallMoleculeSummary.PrefixEnum,8,48,2,2,2,9,3,4,1,4
jmztabm-api,de.isas.mztab2.model,OptColumnMapping.Properties,79,0,2,0,13,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,Comment.PrefixEnum,8,48,2,2,2,9,3,4,1,4
jmztabm-api,de.isas.mztab2.model,StudyVariable,166,176,13,13,25,53,19,22,7,21
jmztabm-api,de.isas.mztab2.model,ValidationMessage.MessageTypeEnum,33,45,4,0,6,7,5,2,3,2
jmztabm-api,de.isas.mztab2.model,CV.Properties,101,0,2,0,15,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,PublicationItem.TypeEnum,6,72,1,3,2,11,2,5,1,4
jmztabm-api,de.isas.mztab2.model,SmallMoleculeFeature.Properties,211,0,2,0,25,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,Comment,87,77,8,6,15,23,11,10,4,10
jmztabm-api,de.isas.mztab2.model,MzTab,149,131,12,8,27,37,18,16,8,16
jmztabm-api,de.isas.mztab2.model,Software.Properties,79,0,2,0,13,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,Database.Properties,101,0,2,0,15,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,StringList,67,0,8,0,15,0,9,0,5,0
jmztabm-api,de.isas.mztab2.model,Parameter,114,124,10,8,15,39,12,17,3,17
jmztabm-api,de.isas.mztab2.model,PublicationItem.Properties,68,0,2,0,12,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,SpectraRef.Properties,68,0,2,0,12,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,Metadata.PrefixEnum,8,48,2,2,2,9,3,4,1,4
jmztabm-api,de.isas.mztab2.model,SampleProcessing.Properties,68,0,2,0,12,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,SmallMoleculeEvidence.Properties,288,0,2,0,32,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,Database,124,114,10,8,19,35,14,15,5,15
jmztabm-api,de.isas.mztab2.model,Uri.Properties,68,0,2,0,12,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,SmallMoleculeFeature,329,321,25,21,43,99,32,41,10,40
jmztabm-api,de.isas.mztab2.model,SmallMoleculeFeature.PrefixEnum,8,48,2,2,2,9,3,4,1,4
jmztabm-api,de.isas.mztab2.model,SmallMoleculeFeature.HeaderPrefixEnum,8,48,2,2,2,9,3,4,1,4
jmztabm-api,de.isas.mztab2.model,Assay.Properties,112,0,2,0,16,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,SmallMoleculeEvidence.HeaderPrefixEnum,8,48,2,2,2,9,3,4,1,4
jmztabm-api,de.isas.mztab2.model,StudyVariable.Properties,123,0,2,0,17,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,OptColumnMapping,82,82,8,6,13,25,10,11,3,11
jmztabm-api,de.isas.mztab2.model,Contact,98,103,9,7,14,32,11,14,3,14
jmztabm-api,de.isas.mztab2.model,Assay,160,139,13,9,26,42,18,18,7,18
jmztabm-api,de.isas.mztab2.model,ValidationMessage.Properties,101,0,2,0,15,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,ColumnParameterMapping,127,0,12,0,30,0,17,0,11,0
jmztabm-api,de.isas.mztab2.model,PublicationItem,66,61,7,5,12,18,9,8,3,8
jmztabm-api,de.isas.mztab2.model,Error,127,0,12,0,30,0,17,0,11,0
jmztabm-api,de.isas.mztab2.model,Uri,66,61,7,5,12,18,9,8,3,8
jmztabm-api,de.isas.mztab2.model,SpectraRef,66,61,7,5,12,18,9,8,3,8
jmztabm-api,de.isas.mztab2.model,Software,97,82,10,6,17,25,12,11,4,11
jmztabm-api,de.isas.mztab2.model,Sample.Properties,134,0,2,0,18,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,MsRun,224,229,18,14,30,72,23,30,7,30
jmztabm-api,de.isas.mztab2.model,ValidationMessage,199,39,18,0,40,14,23,6,14,6
jmztabm-api,de.isas.mztab2.model,MzTab.Properties,101,0,2,0,15,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,SmallMoleculeSummary.HeaderPrefixEnum,8,48,2,2,2,9,3,4,1,4
jmztabm-api,de.isas.mztab2.model,SmallMoleculeSummary.Properties,266,0,2,0,30,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,Publication.Properties,68,0,2,0,12,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,IndexedElement,82,34,5,1,21,6,3,2,0,2
jmztabm-api,de.isas.mztab2.model,Comment.Properties,79,0,2,0,13,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,Instrument.Properties,101,0,2,0,15,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,Instrument,114,139,11,9,15,43,13,18,3,18
jmztabm-api,de.isas.mztab2.model,Metadata.Properties,354,0,2,0,38,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,SmallMoleculeEvidence.PrefixEnum,8,48,2,2,2,9,3,4,1,4
jmztabm-api,de.isas.mztab2.model,Metadata,672,660,45,43,104,196,70,82,31,77
jmztabm-api,de.isas.mztab2.model,SmallMoleculeEvidence,441,463,31,27,52,145,41,59,12,59
jmztabm-api,de.isas.mztab2.model,CV,114,124,10,8,15,39,12,17,3,17
jmztabm-api,de.isas.mztab2.model,IndexedElementImpl,89,0,8,0,23,0,12,0,8,0
jmztabm-api,de.isas.mztab2.model,ValidationMessage.CategoryEnum,33,45,4,0,6,7,5,2,3,2
jmztabm-api,de.isas.mztab2.model,SampleProcessing,71,71,8,6,14,20,11,8,4,8
jmztabm-api,de.isas.mztab2.model,Publication,78,58,7,5,16,16,11,7,5,7
jmztabm-api,de.isas.mztab2.model,Parameter.Properties,101,0,2,0,15,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,Sample,187,237,15,19,28,70,22,29,8,26
jmztabm-api,de.isas.mztab2.model,SmallMoleculeSummary,449,536,36,40,64,158,51,62,18,57
jmztabm-api,de.isas.mztab2.model,MsRun.Properties,156,0,2,0,20,0,8,0,7,0
jmztabm-api,de.isas.mztab2.model,Contact.Properties,90,0,2,0,14,0,8,0,7,0
